,date,pm25,pm10,o3,no2,so2,co
1,6/20/2020,66,21,35,9,3,3
2,6/21/2020,25,18,32,9,3,2
3,6/22/2020,22,24,95,9,5,2
4,6/23/2020,25,30,34,9,6,3
5,6/24/2020,32,38,21,9,5,4
6,6/25/2020,57,21,35,9,5,2
7,6/26/2020,26,45,45,9,4,2
8,6/27/2020,66,45,34,9,4,2
9,6/28/2020,66,45,33,9,4,2
10,6/29/2020,66,45,43,9,3,2
11,6/30/2020,66,45,16,9,5,3
12,7/1/2020,59,40,23,15,5,3
13,7/2/2020,59,40,22,15,4,2
14,7/3/2020,59,40,19,15,4,2
15,7/4/2020,59,40,22,15,4,2
16,7/5/2020,59,40,22,15,5,2
17,7/6/2020,59,40,24,15,4,2
18,7/7/2020,59,40,29,15,4,2
19,7/8/2020,59,40,38,15,4,3
20,7/9/2020,59,40,23,15,5,3
21,7/10/2020,59,40,19,15,8,4
22,7/11/2020,59,40,17,15,5,4
23,7/12/2020,59,40,27,15,5,3
24,7/13/2020,59,40,34,15,5,3
25,7/14/2020,59,40,102,15,4,2
26,7/15/2020,59,40,26,15,4,2
27,7/16/2020,59,40,26,15,4,2
28,7/17/2020,59,40,26,15,4,3
29,7/18/2020,59,40,26,15,4,3
30,7/19/2020,59,40,26,15,5,3
31,7/20/2020,59,40,26,15,6,2
32,7/21/2020,59,40,26,15,6,2
33,7/22/2020,59,40,26,15,6,2
34,7/23/2020,59,40,26,15,5,2
35,7/24/2020,59,40,26,15,5,2
36,7/25/2020,59,40,26,15,4,2
37,7/26/2020,59,40,26,15,8,4
38,7/27/2020,59,40,26,15,6,4
39,7/28/2020,59,40,26,15,7,4
40,7/29/2020,59,40,24,15,6,3
41,7/30/2020,59,40,44,15,5,3
42,7/31/2020,59,40,27,15,6,3
43,8/1/2020,59,40,13,15,6,2
44,8/2/2020,59,40,10,15,8,3
45,8/3/2020,59,40,8,15,8,3
46,8/4/2020,59,40,7,15,7,3
47,8/5/2020,59,40,8,15,8,3
48,8/6/2020,59,40,5,15,8,3
49,8/7/2020,59,40,7,15,7,3
50,8/8/2020,59,40,15,15,6,2
51,8/9/2020,59,40,24,15,5,3
52,8/10/2020,59,40,38,15,7,3
53,8/11/2020,59,40,41,15,5,3
54,8/12/2020,59,40,21,15,6,2
55,8/13/2020,59,40,18,15,9,3
56,8/14/2020,59,40,6,15,11,4
57,8/15/2020,59,40,3,15,8,3
58,8/16/2020,59,40,11,15,9,3
59,8/17/2020,59,40,6,15,9,3
60,8/18/2020,59,40,9,15,10,3
61,8/19/2020,59,40,17,15,8,4
62,8/20/2020,59,40,28,15,9,3
63,8/21/2020,59,40,20,15,7,3
64,8/22/2020,59,40,30,15,8,3
65,8/23/2020,59,40,32,15,6,3
66,8/24/2020,59,40,56,15,7,3
67,8/25/2020,59,40,26,15,7,3
68,8/26/2020,59,40,35,15,6,3
69,8/27/2020,59,40,26,15,6,3
70,8/28/2020,59,40,26,15,6,3
71,8/29/2020,59,40,9,15,8,3
72,8/30/2020,59,40,68,15,7,3
73,8/31/2020,59,40,41,15,7,3
74,9/1/2020,59,40,65,15,6,4
75,9/2/2020,59,40,55,15,6,5
76,9/3/2020,59,40,64,15,7,4
77,9/4/2020,59,40,24,15,7,3
78,9/5/2020,59,40,29,15,6,3
79,9/6/2020,59,40,30,15,7,3
80,9/7/2020,59,40,11,15,10,4
81,9/8/2020,59,40,23,15,9,3
82,9/9/2020,59,40,18,15,9,3
83,9/10/2020,59,40,16,15,8,3
84,9/11/2020,59,40,14,15,7,3
85,9/12/2020,59,40,15,15,7,3
86,9/13/2020,59,40,12,15,9,3
87,9/14/2020,59,40,13,15,8,3
88,9/15/2020,59,40,22,15,8,3
89,9/16/2020,59,40,12,15,12,3
90,9/17/2020,59,40,18,15,7,3
91,9/18/2020,59,40,12,15,9,3
92,9/19/2020,59,40,9,15,11,4
93,9/20/2020,59,40,4,15,9,4
94,9/21/2020,59,40,17,15,9,3
95,9/22/2020,59,40,8,15,9,3
96,9/23/2020,59,40,7,15,9,3
97,9/24/2020,59,40,18,15,9,4
98,9/25/2020,59,40,26,15,9,3
99,9/26/2020,59,40,24,15,9,4
100,9/27/2020,59,40,9,15,10,4
101,9/28/2020,59,40,22,15,9,4
102,9/29/2020,59,40,33,15,10,3
103,9/30/2020,59,40,27,15,10,4
104,10/1/2020,111,66,18,11,9,4
105,10/2/2020,111,66,19,11,9,4
106,10/3/2020,111,66,9,11,8,3
107,10/4/2020,111,66,13,11,8,3
108,10/5/2020,111,66,13,11,11,3
109,10/6/2020,111,66,15,11,8,3
110,10/7/2020,111,66,16,11,10,3
111,10/8/2020,111,66,15,11,11,3
112,10/9/2020,111,66,13,11,11,3
113,10/10/2020,111,66,17,11,11,3
114,10/11/2020,111,66,21,11,11,4
115,10/12/2020,111,66,25,11,12,4
116,10/13/2020,111,66,28,11,10,4
117,10/14/2020,111,66,15,11,9,3
118,10/18/2020,111,66,7,11,12,3
119,10/19/2020,111,66,7,11,12,3
120,10/20/2020,111,66,15,11,10,3
121,10/21/2020,111,66,21,11,9,4
122,10/22/2020,111,66,31,11,11,5
123,10/23/2020,111,66,31,11,12,6
124,10/24/2020,111,66,44,11,11,6
125,10/25/2020,111,66,26,11,12,5
126,10/26/2020,111,66,20,11,11,4
127,10/27/2020,111,66,25,11,10,4
128,10/28/2020,111,66,20,11,11,3
129,10/29/2020,111,66,21,11,11,3
130,10/30/2020,111,66,13,11,12,4
131,10/31/2020,111,66,10,11,12,5
132,11/1/2020,111,66,41,11,12,6
133,11/2/2020,111,66,14,11,12,4
134,11/3/2020,111,66,14,11,12,4
135,11/4/2020,111,66,25,11,11,5
136,11/5/2020,111,66,39,11,13,6
137,11/6/2020,111,66,23,11,12,7
138,11/7/2020,111,66,20,11,9,6
139,11/8/2020,111,66,29,11,10,6
140,11/9/2020,111,66,35,11,10,6
141,11/10/2020,111,66,18,11,11,6
142,11/11/2020,111,66,18,11,14,5
143,11/12/2020,111,66,18,11,10,6
144,11/13/2020,111,66,40,11,10,6
145,11/14/2020,111,66,39,11,10,5
146,11/15/2020,111,66,28,11,7,3
147,11/16/2020,111,66,8,11,8,3
148,11/17/2020,111,31,9,6,12,4
149,11/18/2020,37,46,5,8,7,2
150,11/19/2020,64,42,3,5,2,2
151,11/20/2020,56,30,3,3,1,2
152,11/21/2020,40,45,2,7,1,1
153,11/22/2020,59,46,2,6,4,2
154,11/23/2020,60,55,18,9,3,2
155,11/24/2020,87,63,18,9,5,3
156,11/25/2020,103,63,2,8,4,3
157,11/26/2020,102,59,2,10,4,3
158,11/27/2020,98,66,2,11,3,3
159,11/29/2020,111,44,18,11,11,4
160,11/30/2020,63,52,18,11,11,4
161,12/1/2020,82,66,18,11,11,4
162,12/2/2020,111,59,18,5,11,4
163,12/3/2020,88,54,20,3,1,3
164,12/4/2020,78,37,27,1,4,5
165,12/5/2020,53,63,26,1,2,4
166,12/6/2020,112,61,41,9,4,7
167,12/7/2020,110,55,39,16,5,5
168,12/8/2020,92,76,30,21,4,4
169,12/9/2020,136,74,47,23,5,6
170,12/10/2020,133,87,53,18,9,6
171,12/11/2020,157,59,39,16,7,6
172,12/12/2020,105,66,48,11,8,4
173,12/14/2020,111,17,18,9,11,4
174,12/15/2020,23,17,10,6,2,3
175,12/16/2020,20,19,13,6,1,2
176,12/17/2020,25,22,14,7,1,2
177,12/18/2020,30,34,14,6,1,2
178,12/19/2020,49,66,23,11,2,2
179,12/20/2020,111,61,18,19,11,4
180,12/21/2020,103,71,33,18,4,3
181,12/22/2020,126,78,40,19,7,4
182,12/23/2020,142,58,30,15,10,4
183,12/24/2020,99,93,31,23,4,5
184,12/25/2020,164,78,35,21,9,6
185,12/26/2020,148,68,20,20,9,5
186,12/27/2020,137,51,8,11,4,6
187,12/28/2020,90,40,19,10,3,3
188,12/29/2020,63,44,28,10,2,2
189,12/30/2020,53,45,23,12,2,4
190,12/31/2020,70,66,34,15,3,4
191,1/1/2021,112,100,41,17,4,5
192,1/2/2021,174,86,47,17,5,6
193,1/3/2021,160,89,38,26,9,5
194,1/4/2021,164,100,33,21,8,6
195,1/5/2021,178,80,26,14,4,5
196,1/6/2021,154,65,17,11,4,5
197,1/7/2021,119,26,16,6,2,3
198,1/8/2021,23,36,20,8,3,2
199,1/9/2021,52,47,24,9,3,2
200,1/10/2021,69,58,25,11,3,4
201,1/11/2021,85,65,31,14,3,3
202,1/12/2021,98,94,48,19,6,4
203,1/13/2021,161,93,63,21,7,4
204,1/14/2021,167,116,24,24,5,5
205,1/15/2021,199,111,14,27,8,5
206,1/16/2021,193,69,21,13,4,3
207,1/17/2021,123,56,40,12,3,4
208,1/18/2021,92,82,57,16,5,4
209,1/19/2021,149,107,16,25,11,5
210,1/20/2021,180,121,17,25,4,6
211,1/21/2021,205,106,25,20,4,6
212,1/22/2021,187,97,29,21,5,6
213,1/23/2021,176,75,41,10,4,6
214,1/24/2021,145,60,20,11,2,5
215,1/25/2021,108,56,29,10,3,4
216,1/26/2021,85,52,34,7,3,3
217,1/27/2021,75,43,13,15,3,3
218,1/28/2021,61,61,33,15,4,5
219,1/29/2021,104,86,21,23,7,6
220,1/30/2021,157,89,10,22,3,5
221,1/31/2021,165,64,22,16,4,3
222,2/1/2021,109,59,19,12,2,3
223,2/2/2021,86,56,28,9,4,2
224,2/3/2021,81,61,26,14,4,3
225,2/4/2021,105,67,34,13,3,3
226,2/5/2021,114,58,35,9,3,2
227,2/6/2021,94,65,34,12,4,3
228,2/7/2021,112,64,16,9,3,3
229,2/8/2021,113,9,17,5,2,2
230,2/9/2021,17,38,32,7,2,5
231,2/10/2021,69,38,33,5,2,4
232,2/11/2021,64,38,36,5,2,3
233,2/12/2021,64,35,37,4,3,2
234,2/13/2021,57,38,40,4,2,2
235,2/14/2021,63,38,26,4,2,2
236,2/15/2021,62,42,18,9,3,3
237,2/16/2021,76,34,17,7,2,2
238,2/17/2021,56,54,34,11,4,3
239,2/18/2021,98,66,41,21,6,4
240,2/19/2021,126,62,77,10,5,3
241,2/20/2021,117,51,43,6,4,2
242,2/21/2021,80,42,31,7,3,1
243,2/22/2021,65,41,37,5,3,1
244,2/23/2021,64,36,25,4,3,1
245,2/24/2021,50,28,21,4,2,1
246,2/25/2021,44,31,25,2,2,1
247,2/26/2021,47,36,8,12,3,2
248,2/27/2021,57,22,3,12,2,3
249,2/28/2021,41,25,1,12,2,5
250,3/1/2021,44,26,10,8,2,3
251,3/2/2021,38,48,11,11,4,4
252,3/3/2021,81,31,7,12,2,4
253,3/4/2021,51,35,6,9,2,5
254,3/5/2021,60,37,22,9,2,4
255,3/6/2021,61,44,27,9,3,3
256,3/7/2021,67,54,16,18,3,3
257,3/8/2021,90,32,14,18,3,1
258,3/9/2021,47,30,15,19,3,1
259,3/10/2021,43,42,15,23,4,2
260,3/11/2021,54,51,25,16,3,2
261,3/12/2021,63,48,18,19,4,2
262,3/13/2021,75,51,29,16,4,2
263,3/14/2021,80,39,22,15,3,1
264,3/15/2021,54,33,17,18,3,2
265,3/16/2021,49,34,17,15,3,1
266,3/17/2021,50,37,13,17,3,2
267,3/18/2021,51,32,12,16,3,1
268,3/19/2021,43,26,9,17,3,1
269,3/20/2021,37,21,18,17,3,2
270,3/21/2021,28,43,18,18,3,2
271,3/22/2021,49,78,30,19,5,2
272,3/23/2021,99,81,23,25,11,4
273,3/24/2021,127,67,14,33,7,5
274,3/25/2021,130,42,13,21,3,3
275,3/26/2021,72,22,13,17,3,2
276,3/27/2021,32,28,8,16,3,2
277,3/28/2021,33,45,19,17,3,2
278,3/29/2021,67,39,16,16,3,2
279,3/30/2021,60,43,15,18,3,2
280,3/31/2021,65,32,14,15,3,1
281,4/1/2021,48,22,9,17,3,1
282,4/2/2021,34,27,7,20,3,2
283,4/3/2021,41,48,10,22,4,3
284,4/4/2021,78,37,10,21,4,3
285,4/5/2021,54,51,27,19,4,2
286,4/6/2021,73,43,27,17,3,2
287,4/7/2021,55,32,21,16,3,2
288,4/8/2021,45,23,11,17,3,2
289,4/9/2021,31,31,10,17,3,3
290,4/10/2021,42,38,19,20,4,3
291,4/11/2021,58,32,19,15,4,1
292,4/12/2021,35,31,14,17,4,1
293,4/13/2021,38,24,16,15,3,1
294,4/14/2021,31,25,11,17,3,1
295,4/15/2021,33,32,15,18,3,1
296,4/16/2021,40,17,10,18,4,2
297,4/17/2021,22,23,11,17,4,3
298,4/18/2021,31,35,27,17,5,3
299,4/19/2021,46,27,21,14,3,1
300,4/20/2021,31,25,21,13,3,1
301,4/21/2021,29,24,20,14,3,1
302,4/22/2021,27,19,11,14,3,1
303,4/23/2021,24,23,19,14,3,1
304,4/24/2021,29,25,12,19,3,2
305,4/25/2021,37,22,23,21,4,3
306,4/26/2021,28,28,23,16,5,3
307,4/27/2021,35,32,12,13,4,3
308,4/28/2021,44,26,39,13,5,2
309,4/29/2021,37,45,19,9,6,2
310,5/2/2021,66,39,14,11,4,1
311,5/3/2021,43,37,32,12,4,1
312,5/4/2021,42,29,23,17,4,1
313,5/5/2021,37,52,59,16,5,2
314,5/6/2021,77,39,20,13,5,1
315,5/7/2021,51,41,22,14,5,1
