dateNumber,date,pm25,pm10,o3,no2,so2,co,AQI
1,1/1/2014,95,124,22,40,6,28,124
2,1/2/2014,186,144,69,39,8,43,186
3,1/3/2014,227,151,24,25,12,28,227
4,1/4/2014,253,48,13,19,12,14,253
5,1/5/2014,95,115,65,35,5,33,115
6,1/6/2014,188,85,46,30,3,27,188
7,1/7/2014,167,80,20,28,10,27,167
8,1/8/2014,163,75,29,23,7,22,163
9,1/9/2014,165,103,21,32,12,32,165
10,1/10/2014,189,115,17,20,6,25,189
11,1/11/2014,206,69,19,17,5,20,206
12,1/12/2014,150,59,32,17,6,17,150
13,1/13/2014,133,77,93,27,9,21,133
14,1/14/2014,162,85,96,35,11,22,162
15,1/15/2014,171,90,104,37,10,23,171
16,1/16/2014,179,100,54,29,6,28,179
17,1/17/2014,191,102,65,36,9,31,191
18,1/18/2014,194,102,66,35,16,28,194
19,1/19/2014,199,48,13,19,12,14,199
20,1/20/2014,95,100,13,57,22,39,100
21,1/21/2014,179,91,55,41,13,28,179
22,1/22/2014,180,108,33,47,10,30,180
23,1/23/2014,183,94,35,34,2,24,183
24,1/24/2014,166,101,19,31,3,26,166
25,1/25/2014,183,97,17,29,5,26,183
26,1/26/2014,181,85,23,34,4,29,181
27,1/27/2014,167,65,23,29,3,24,167
28,1/28/2014,153,69,18,28,3,25,153
29,1/29/2014,154,76,27,22,3,23,154
30,1/30/2014,164,61,34,15,2,16,164
31,1/31/2014,134,38,21,16,2,13,134
32,2/1/2014,101,39,20,18,2,14,101
33,2/2/2014,101,37,20,20,2,14,101
34,2/3/2014,94,33,23,17,2,13,94
35,2/4/2014,84,31,17,15,2,14,84
36,2/5/2014,84,37,19,17,2,18,84
37,2/6/2014,99,29,15,17,2,20,99
38,2/7/2014,81,43,10,16,2,19,81
39,2/8/2014,120,46,12,14,2,17,120
40,2/9/2014,125,47,19,15,1,15,125
41,2/10/2014,127,62,23,14,1,14,127
42,2/11/2014,159,86,14,27,1,23,159
43,2/12/2014,183,62,25,18,4,16,183
44,2/13/2014,154,76,29,27,7,18,154
45,2/14/2014,168,96,18,37,8,24,168
46,2/15/2014,187,107,20,24,3,21,187
47,2/16/2014,209,84,13,26,1,31,209
48,2/17/2014,182,54,14,16,1,30,182
49,2/18/2014,125,56,24,18,2,19,125
50,2/19/2014,128,72,36,28,2,19,128
51,2/20/2014,147,81,17,38,4,27,147
52,2/21/2014,161,68,8,26,4,26,161
53,2/22/2014,160,55,3,21,3,28,160
54,2/23/2014,145,68,9,29,2,27,145
55,2/24/2014,148,57,8,27,1,25,148
56,2/25/2014,133,65,1,27,2,22,133
57,2/26/2014,154,57,3,30,2,30,154
58,2/27/2014,140,47,10,22,1,25,140
59,2/28/2014,121,39,3,17,12,14,121
60,3/1/2014,106,83,5,30,2,26,106
61,3/2/2014,166,68,7,25,2,30,166
62,3/3/2014,158,71,4,21,2,25,158
63,3/4/2014,162,72,6,23,2,26,162
64,3/5/2014,160,55,3,28,2,36,160
65,3/6/2014,139,37,1,18,2,29,139
66,3/7/2014,107,30,1,16,2,25,107
67,3/8/2014,90,39,4,16,1,15,90
68,3/9/2014,97,52,2,17,1,17,97
69,3/10/2014,125,69,2,22,2,26,125
70,3/11/2014,153,56,4,25,2,29,153
71,3/12/2014,132,52,7,19,2,24,132
72,3/13/2014,138,73,11,26,2,18,138
73,3/14/2014,160,67,11,34,3,22,160
74,3/15/2014,147,50,8,25,2,19,147
75,3/16/2014,121,74,1,27,4,33,121
76,3/17/2014,157,48,2,21,2,23,157
77,3/18/2014,117,51,1,27,2,30,117
78,3/19/2014,124,59,2,26,2,28,124
79,3/20/2014,146,53,16,19,1,12,146
80,3/21/2014,131,44,7,22,1,14,131
81,3/22/2014,115,45,3,19,1,22,115
82,3/23/2014,122,47,9,30,2,22,122
83,3/24/2014,118,61,14,28,2,19,118
84,3/25/2014,133,57,7,28,2,23,133
85,3/26/2014,132,57,4,25,2,23,132
86,3/27/2014,131,44,4,20,2,23,131
87,3/28/2014,104,41,1,19,2,25,104
88,3/29/2014,101,50,5,24,2,21,101
89,3/30/2014,122,62,11,30,2,23,122
90,3/31/2014,147,64,6,33,2,28,147
91,4/1/2014,147,73,6,30,2,26,147
92,4/2/2014,164,56,4,26,5,28,164
93,4/3/2014,138,66,12,30,8,26,138
94,4/4/2014,148,66,5,35,7,30,148
95,4/5/2014,154,44,17,31,7,20,154
96,4/6/2014,107,31,13,36,8,24,107
97,4/7/2014,75,47,11,30,13,27,75
98,4/8/2014,113,43,9,25,14,20,113
99,4/9/2014,104,36,4,21,14,22,104
100,4/10/2014,88,39,3,19,14,23,88
101,4/11/2014,93,45,3,20,15,22,93
102,4/12/2014,107,45,2,20,15,21,107
103,4/13/2014,107,54,1,23,16,28,107
104,4/14/2014,126,45,2,16,15,21,126
105,4/15/2014,106,42,3,17,15,19,106
106,4/16/2014,96,49,3,21,15,25,96
107,4/17/2014,111,47,3,21,16,26,111
108,4/18/2014,110,45,1,18,16,24,110
109,4/19/2014,106,39,1,20,16,24,106
110,4/20/2014,96,38,2,16,15,22,96
111,4/21/2014,94,46,1,18,16,30,94
112,4/22/2014,109,43,1,15,16,27,109
113,4/23/2014,109,47,1,20,16,28,109
114,4/24/2014,111,51,1,22,17,27,111
115,4/25/2014,118,48,2,26,16,22,118
116,4/26/2014,105,38,16,15,15,17,105
117,4/27/2014,91,62,9,16,12,26,91
118,4/28/2014,136,81,8,17,7,24,136
119,4/29/2014,165,50,22,14,6,12,165
120,4/30/2014,116,74,31,14,6,15,116
121,5/1/2014,158,66,36,18,7,16,158
122,5/2/2014,136,58,11,18,7,19,136
123,5/3/2014,126,70,18,16,6,16,126
124,5/4/2014,134,39,35,16,7,13,134
125,5/5/2014,88,60,30,20,8,17,88
126,5/6/2014,131,74,11,24,11,29,131
127,5/7/2014,155,54,14,22,6,27,155
128,5/8/2014,124,53,26,27,7,21,124
129,5/9/2014,101,48,27,24,8,17,101
130,5/10/2014,78,61,70,24,8,14,78
131,5/11/2014,110,66,12,32,8,24,110
