,date,pm25,pm10,o3,no2,so2,co
1,2/14/2021,20,6,28,5,12,5
2,2/15/2021,9,14,28,9,12,5
3,2/16/2021,18,17,26,9,12,6
4,2/17/2021,20,24,26,15,12,6
5,2/18/2021,28,29,38,16,12,6
6,2/19/2021,37,36,37,13,12,5
7,2/20/2021,47,29,33,11,12,5
8,2/21/2021,36,28,28,8,12,5
9,2/22/2021,34,23,25,8,12,5
10,2/23/2021,27,25,25,10,8,5
11,2/24/2021,27,25,18,10,12,5
12,2/25/2021,27,39,8,17,12,5
13,2/26/2021,43,36,5,16,14,6
14,2/27/2021,49,34,2,15,13,6
15,2/28/2021,52,41,6,11,12,5
16,3/1/2021,52,17,14,12,12,6
17,3/2/2021,19,13,15,8,12,7
18,3/3/2021,17,12,6,10,12,7
19,3/4/2021,14,14,8,16,12,7
20,3/5/2021,18,41,2,18,12,6
21,3/6/2021,38,36,15,18,12,6
22,3/7/2021,41,39,12,18,12,6
23,3/8/2021,57,40,19,13,12,5
24,3/9/2021,56,33,21,8,12,5
25,3/10/2021,46,41,19,12,12,5
26,3/11/2021,54,44,22,11,12,6
27,3/12/2021,57,44,28,11,12,6
28,3/13/2021,56,42,25,10,12,6
29,3/14/2021,46,32,22,12,12,5
30,3/15/2021,40,42,20,17,12,6
31,3/16/2021,48,45,20,11,12,6
32,3/17/2021,53,21,15,13,8,6
33,3/18/2021,20,62,3,15,13,6
34,3/19/2021,70,38,8,11,12,5
35,3/20/2021,42,20,15,9,12,6
36,3/21/2021,24,15,11,12,12,6
37,3/22/2021,22,21,15,13,8,6
38,3/28/2021,20,20,9,11,12,6
39,3/29/2021,24,46,14,8,12,6
40,3/30/2021,54,49,12,7,12,6
41,3/31/2021,61,41,12,7,12,5
42,4/1/2021,47,38,9,10,12,5
43,4/2/2021,44,37,11,9,12,5
44,4/3/2021,45,31,4,8,12,6
45,4/4/2021,40,48,13,14,13,6
46,4/5/2021,75,58,13,28,13,6
47,4/6/2021,84,37,24,14,12,6
48,4/7/2021,45,43,20,10,12,6
49,4/8/2021,47,44,8,16,13,6
50,4/9/2021,47,60,10,23,13,6
51,4/10/2021,91,35,21,11,12,5
52,4/11/2021,51,40,16,9,12,5
53,4/12/2021,47,34,15,10,12,5
54,4/13/2021,38,36,14,7,12,5
55,4/14/2021,39,36,15,8,12,5
56,4/15/2021,39,29,13,10,12,5
57,4/16/2021,35,31,7,8,12,6
58,4/17/2021,34,25,9,15,12,6
59,4/18/2021,33,35,15,10,12,6
60,4/19/2021,44,30,17,8,12,5
61,4/20/2021,33,37,18,9,6,5
62,4/21/2021,23,45,16,7,12,5
63,4/22/2021,48,37,18,5,13,6
64,4/23/2021,40,24,17,2,12,5
65,4/24/2021,30,47,11,14,12,5
66,4/25/2021,41,25,16,13,12,5
67,4/26/2021,24,11,9,1,12,6
68,4/27/2021,9,37,18,9,6,5
69,5/8/2021,23,89,14,4,1,1
70,5/9/2021,25,89,15,2,1,1
71,5/10/2021,25,89,21,5,1,1
72,5/11/2021,25,89,18,3,1,1
73,5/12/2021,25,54,15,14,1,1
74,5/13/2021,20,31,10,4,1,1
75,5/14/2021,17,30,11,3,1,1
76,5/15/2021,18,34,15,3,1,1
77,5/16/2021,22,44,9,6,1,1
78,5/17/2021,24,26,7,3,12,1
79,5/18/2021,16,21,17,2,10,2
80,5/19/2021,23,25,22,3,9,2
81,5/20/2021,27,86,20,3,10,2
82,5/21/2021,24,88,22,2,10,2
83,5/22/2021,24,88,16,3,10,2
84,5/23/2021,25,88,17,7,10,3
85,5/24/2021,24,88,22,6,10,3
86,5/25/2021,24,88,15,9,10,2
87,5/26/2021,24,88,15,6,10,2
88,5/27/2021,24,51,21,4,12,3
89,5/28/2021,18,31,19,4,10,3
90,5/29/2021,26,62,28,7,10,3
91,5/30/2021,29,88,33,5,10,3
92,5/31/2021,24,88,34,6,10,3
93,6/1/2021,24,88,31,3,9,3
94,6/2/2021,24,88,22,5,1,3
95,6/3/2021,24,88,14,4,1,3
96,6/4/2021,25,88,33,9,1,3
97,6/5/2021,25,88,43,10,2,3
98,6/6/2021,24,88,22,21,2,3
99,6/7/2021,24,24,17,12,1,3
100,6/8/2021,14,2,21,5,1,2
101,6/9/2021,1,3,16,9,1,2
102,6/10/2021,2,2,12,10,1,2
103,6/11/2021,2,2,17,6,1,2
104,6/12/2021,2,1,16,3,1,2
105,6/13/2021,1,1,17,2,1,2
106,6/14/2021,1,1,17,7,1,2
107,6/15/2021,1,11,21,4,1,2
108,6/16/2021,12,17,24,5,1,2
109,6/17/2021,18,13,27,5,1,2
110,6/18/2021,15,22,35,9,1,3
111,6/19/2021,21,30,38,11,2,3
112,6/20/2021,31,28,54,8,1,3
113,6/21/2021,31,37,20,14,1,3
114,6/22/2021,40,25,39,12,1,3
115,6/23/2021,25,29,12,10,1,2
116,6/24/2021,30,25,13,11,1,2
117,6/25/2021,28,18,18,7,1,2
118,6/26/2021,22,20,20,6,1,2
119,6/27/2021,24,17,20,7,2,2
120,6/28/2021,20,15,23,4,1,2
121,6/29/2021,18,11,20,4,6,2
122,6/30/2021,15,12,19,4,1,2
123,7/1/2021,16,17,25,6,3,2
124,7/2/2021,19,24,32,8,1,2
125,7/3/2021,22,35,19,7,1,2
126,7/4/2021,33,24,15,8,6,4
127,7/5/2021,19,23,10,7,1,2
128,7/6/2021,24,20,18,8,1,2
129,7/7/2021,19,9,19,2,2,2
130,7/8/2021,13,24,15,8,6,4
131,7/10/2021,19,5,11,3,1,2
132,7/11/2021,7,15,11,4,6,2
133,7/12/2021,15,24,15,8,6,4
134,7/15/2021,19,21,2,8,6,3
135,7/16/2021,18,11,12,4,1,2
136,7/17/2021,12,22,15,8,6,2
137,7/18/2021,18,17,21,8,6,3
138,7/19/2021,16,20,17,12,1,3
139,7/20/2021,21,20,4,14,1,3
140,7/21/2021,22,25,7,17,1,4
141,7/22/2021,37,10,9,13,1,3
142,7/23/2021,15,16,12,9,1,3
143,7/24/2021,20,21,15,11,1,3
144,7/25/2021,22,21,22,12,1,3
145,7/26/2021,23,22,23,12,1,3
146,7/27/2021,28,17,6,11,1,3
147,7/28/2021,21,20,14,16,1,3
148,7/29/2021,26,15,25,8,1,3
149,7/30/2021,18,20,22,9,1,3
150,7/31/2021,22,34,15,7,13,3
151,8/1/2021,15,24,15,8,6,4
152,8/2/2021,19,89,11,12,1,6
153,8/3/2021,25,89,62,12,1,6
154,8/4/2021,25,89,38,17,1,5
155,8/5/2021,25,55,5,12,1,4
156,8/6/2021,25,24,15,8,6,4
157,8/9/2021,19,14,1,4,4,2
158,8/10/2021,16,10,3,3,4,2
159,8/11/2021,13,16,3,5,4,2
160,8/12/2021,19,26,2,5,4,3
161,8/13/2021,27,18,4,3,4,2
162,8/14/2021,20,12,4,2,4,2
163,8/15/2021,15,16,3,4,4,2
164,8/16/2021,18,20,4,4,4,2
165,8/17/2021,21,16,13,3,4,3
166,8/18/2021,17,16,16,8,4,3
167,8/19/2021,17,15,12,8,4,3
168,8/20/2021,17,14,11,4,4,4
169,8/21/2021,16,20,20,3,4,3
170,8/22/2021,22,17,19,10,4,3
171,8/23/2021,20,16,21,7,4,4
172,8/24/2021,19,10,19,3,4,3
173,8/25/2021,13,12,13,6,4,3
174,8/26/2021,14,15,7,7,4,3
175,8/27/2021,17,12,11,9,4,3
176,8/28/2021,13,22,10,11,4,3
177,8/29/2021,22,16,8,7,4,3
178,8/30/2021,16,23,6,7,4,3
179,8/31/2021,22,14,11,7,4,3
180,9/1/2021,15,17,8,8,4,4
181,9/2/2021,18,11,14,5,4,3
182,9/3/2021,11,13,18,7,4,4
183,9/4/2021,14,12,13,8,4,4
184,9/5/2021,13,18,13,11,4,4
185,9/6/2021,18,13,17,10,4,4
186,9/7/2021,15,58,8,16,3,3
187,9/8/2021,66,33,16,9,10,4
188,9/9/2021,31,27,21,7,5,4
189,9/10/2021,24,25,32,9,3,4
190,9/11/2021,24,20,38,10,3,4
191,9/12/2021,22,23,23,12,2,5
192,9/13/2021,23,14,18,7,6,4
193,9/14/2021,15,12,10,8,6,5
194,9/15/2021,13,17,8,8,6,4
195,9/16/2021,17,23,4,8,2,5
196,9/17/2021,23,18,11,7,2,5
197,9/18/2021,18,25,16,9,2,5
198,9/19/2021,24,25,11,11,2,5
199,9/20/2021,25,16,13,9,2,5
200,9/21/2021,18,20,7,10,1,5
201,9/22/2021,23,20,12,8,2,4
202,9/23/2021,22,10,10,5,1,4
203,9/24/2021,13,15,10,8,1,4
204,9/25/2021,18,19,14,9,1,4
205,9/26/2021,23,17,14,11,1,4
206,9/27/2021,20,28,11,13,1,4
207,9/28/2021,30,35,22,13,1,4
208,9/29/2021,34,29,20,11,1,5
209,9/30/2021,28,22,8,5,1,5
210,10/1/2021,21,28,10,5,1,4
211,10/2/2021,27,17,13,4,7,4
212,10/3/2021,18,43,8,13,5,4
213,10/4/2021,27,89,13,15,2,4
214,10/5/2021,25,89,16,15,2,4
215,10/6/2021,22,31,13,8,3,4
216,10/7/2021,22,31,14,10,4,4
217,10/8/2021,20,7,9,3,3,4
218,10/9/2021,9,4,8,2,2,4
219,10/10/2021,6,7,8,4,2,4
220,10/11/2021,9,8,10,2,2,4
221,10/12/2021,8,7,10,2,2,4
222,10/13/2021,7,2,9,4,2,4
223,10/14/2021,4,10,8,4,7,4
224,10/15/2021,10,5,8,6,1,4
225,10/16/2021,7,4,10,2,1,4
226,10/17/2021,5,4,8,2,1,4
227,10/18/2021,5,5,6,2,7,4
228,10/19/2021,7,31,18,15,7,4
229,10/23/2021,22,27,22,18,2,3
230,10/24/2021,27,34,30,16,7,3
231,10/25/2021,28,56,36,19,7,4
232,10/26/2021,37,49,31,16,2,4
233,10/27/2021,34,43,23,10,1,3
234,10/28/2021,29,58,30,9,5,3
235,10/29/2021,39,35,14,8,7,4
236,10/30/2021,22,41,23,8,7,4
237,10/31/2021,26,62,20,10,7,5
238,11/1/2021,37,44,23,8,6,4
239,11/2/2021,21,55,17,14,6,4
240,11/3/2021,28,58,22,9,7,3
241,11/4/2021,24,50,16,10,6,3
242,11/5/2021,24,31,18,15,7,4
243,11/6/2021,22,39,19,5,6,3
244,11/7/2021,23,44,13,10,7,3
245,11/8/2021,20,54,14,11,7,3
246,11/9/2021,27,47,17,9,7,3
247,11/10/2021,22,71,16,19,7,3
248,11/11/2021,37,74,20,18,7,4
249,11/12/2021,53,37,16,15,8,3
250,11/13/2021,35,46,27,15,7,4
251,11/14/2021,44,44,27,20,7,4
252,11/15/2021,40,45,23,21,6,4
253,11/16/2021,45,34,14,18,6,4
254,11/17/2021,34,24,11,11,6,4
255,11/18/2021,20,43,18,16,6,5
256,11/19/2021,42,37,18,18,6,5
257,11/20/2021,43,29,14,14,6,4
258,11/21/2021,27,20,11,12,6,4
259,11/22/2021,15,20,10,11,6,3
260,11/23/2021,18,33,12,16,8,3
261,11/24/2021,29,32,12,15,8,4
262,11/25/2021,26,45,15,19,7,4
263,11/26/2021,35,44,17,21,8,4
264,11/27/2021,33,45,24,24,7,4
265,11/28/2021,37,48,27,22,7,4
266,11/29/2021,38,31,16,21,6,5
267,11/30/2021,24,28,21,23,9,4
268,12/1/2021,24,53,19,23,8,4
269,12/2/2021,44,54,19,26,8,4
270,12/3/2021,45,50,22,25,8,4
271,12/4/2021,39,45,25,24,7,4
272,12/5/2021,36,46,25,28,11,4
273,12/6/2021,36,47,26,25,9,5
274,12/7/2021,41,45,21,25,7,4
275,12/8/2021,35,47,32,25,7,5
276,12/9/2021,36,46,39,21,6,6
277,12/10/2021,38,45,24,23,6,5
278,12/11/2021,36,32,23,16,6,5
279,12/12/2021,29,28,18,16,6,6
280,12/13/2021,21,30,30,17,6,6
281,12/14/2021,25,37,27,22,6,6
282,12/15/2021,31,33,24,15,5,5
283,12/16/2021,29,33,13,16,17,5
284,12/17/2021,27,37,17,18,9,5
285,12/18/2021,26,40,19,20,7,5
286,12/19/2021,28,25,14,16,1,5
287,12/20/2021,17,12,13,14,1,5
288,12/21/2021,10,45,5,25,2,6
289,12/22/2021,32,34,20,18,7,6
290,12/23/2021,28,29,18,16,7,6
291,12/24/2021,25,32,7,28,2,6
292,12/25/2021,32,27,6,27,8,6
293,12/26/2021,29,12,3,9,7,5
294,12/27/2021,8,15,4,11,7,5
295,12/28/2021,8,22,6,8,1,5
296,12/29/2021,14,21,6,6,1,6
297,12/30/2021,13,26,7,11,1,6
298,12/31/2021,18,31,18,15,7,4
299,1/2/2022,20,28,15,16,1,6
300,1/3/2022,22,33,3,12,2,7
301,1/4/2022,27,21,15,13,8,6
302,1/10/2022,20,14,9,15,2,3
303,1/11/2022,9,25,10,21,5,4
304,1/12/2022,17,10,7,10,2,4
305,1/13/2022,9,16,2,14,2,3
306,1/14/2022,19,21,15,13,8,6
307,1/23/2022,20,13,8,17,2,3
308,1/24/2022,32,31,2,19,4,4
309,1/25/2022,56,21,15,13,8,6
310,2/21/2022,20,6,14,6,2,3
311,2/22/2022,7,12,19,6,2,2
312,2/23/2022,9,35,13,7,2,3
313,2/24/2022,23,21,15,13,8,6
314,2/26/2022,20,32,45,11,2,5
315,2/27/2022,37,36,40,10,2,4
316,2/28/2022,34,46,29,13,1,4
317,3/1/2022,41,54,34,12,1,5
318,3/2/2022,55,37,34,8,2,4
319,3/3/2022,38,49,9,14,2,5
320,3/4/2022,70,21,15,13,8,6
321,3/16/2022,20,30,14,8,1,4
322,3/17/2022,28,52,1,11,2,4
323,3/18/2022,39,21,15,13,8,6
324,3/27/2022,20,37,7,20,2,4
325,3/28/2022,35,35,6,17,4,5
326,3/29/2022,41,21,15,13,8,6
327,4/12/2022,23,26,23,7,1,4
328,4/13/2022,32,30,37,6,6,5
